sid,parent,status,fr_md5,fr_len
395,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,b4aefd29108f232f9c0d5a4b030215c1,384
396,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,b4aefd29108f232f9c0d5a4b030215c1,384
397,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,b4aefd29108f232f9c0d5a4b030215c1,384
398,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,b4aefd29108f232f9c0d5a4b030215c1,384
399,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,b4aefd29108f232f9c0d5a4b030215c1,384
400,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,b4aefd29108f232f9c0d5a4b030215c1,384
401,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,b4aefd29108f232f9c0d5a4b030215c1,384
402,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,6fdb087aa3fbfbcb8287a593a0919e61,4
403,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,6fdb087aa3fbfbcb8287a593a0919e61,4
404,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,6fdb087aa3fbfbcb8287a593a0919e61,4
405,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,6fdb087aa3fbfbcb8287a593a0919e61,4
406,7240686c-d790-463d-bad2-c969fc65885e,completed,6fdb087aa3fbfbcb8287a593a0919e61,4
407,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,7832d402b624a0065e76cc87778148f5,623
408,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,b4aefd29108f232f9c0d5a4b030215c1,384
409,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,b4aefd29108f232f9c0d5a4b030215c1,384
410,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,b4aefd29108f232f9c0d5a4b030215c1,384
411,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,b4aefd29108f232f9c0d5a4b030215c1,384
412,ac045111-1a54-4758-932c-daefccee45e8,completed,b4aefd29108f232f9c0d5a4b030215c1,384
413,6f8a9be7-9996-4ff6-92cd-175549e22124,completed,b4aefd29108f232f9c0d5a4b030215c1,384
414,0783c1d6-9cdb-422f-9195-d9ff9d48cdf8,completed,b4aefd29108f232f9c0d5a4b030215c1,384
415,0783c1d6-9cdb-422f-9195-d9ff9d48cdf8,completed,b4aefd29108f232f9c0d5a4b030215c1,384
416,0783c1d6-9cdb-422f-9195-d9ff9d48cdf8,completed,b4aefd29108f232f9c0d5a4b030215c1,384
417,0783c1d6-9cdb-422f-9195-d9ff9d48cdf8,completed,b4aefd29108f232f9c0d5a4b030215c1,384
418,0783c1d6-9cdb-422f-9195-d9ff9d48cdf8,completed,b4aefd29108f232f9c0d5a4b030215c1,384
419,0783c1d6-9cdb-422f-9195-d9ff9d48cdf8,completed,b4aefd29108f232f9c0d5a4b030215c1,384
420,0783c1d6-9cdb-422f-9195-d9ff9d48cdf8,completed,b4aefd29108f232f9c0d5a4b030215c1,384
421,0783c1d6-9cdb-422f-9195-d9ff9d48cdf8,completed,b4aefd29108f232f9c0d5a4b030215c1,384
422,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,b4aefd29108f232f9c0d5a4b030215c1,384
423,0693e1c3-6054-49ab-a712-95a94748017e,completed,b4aefd29108f232f9c0d5a4b030215c1,384
424,67fcb771-d89b-4874-927a-413a429590af,completed,b4aefd29108f232f9c0d5a4b030215c1,384
425,7240686c-d790-463d-bad2-c969fc65885e,completed,b4aefd29108f232f9c0d5a4b030215c1,384
426,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,b4aefd29108f232f9c0d5a4b030215c1,384
427,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,b4aefd29108f232f9c0d5a4b030215c1,384
428,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,b4aefd29108f232f9c0d5a4b030215c1,384
429,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,b4aefd29108f232f9c0d5a4b030215c1,384
430,ff521137-c3c1-4121-9f11-8bbc2420ff24,pending_init,,
431,7240686c-d790-463d-bad2-c969fc65885e,completed,b4aefd29108f232f9c0d5a4b030215c1,384
432,7240686c-d790-463d-bad2-c969fc65885e,completed,b4aefd29108f232f9c0d5a4b030215c1,384
433,6f8a9be7-9996-4ff6-92cd-175549e22124,completed,69d1720c3f8fc7b686554110857613b1,51
434,6f8a9be7-9996-4ff6-92cd-175549e22124,completed,a93ca4941fcf85fa76f76aa25f3801dc,51
435,6f8a9be7-9996-4ff6-92cd-175549e22124,completed,58a077a6656ae7c4d88d3cf4bfc7bc6d,51
436,6f8a9be7-9996-4ff6-92cd-175549e22124,completed,503fb67b01aaf8b2973e7663344f036c,126
437,6f8a9be7-9996-4ff6-92cd-175549e22124,completed,d173467484ef979c50df0c126c3f0602,167
438,6f8a9be7-9996-4ff6-92cd-175549e22124,completed,afbd68da8f01e112a5cbcd3748e1fbe3,32
439,6f8a9be7-9996-4ff6-92cd-175549e22124,completed,f22423c95ab4a71e69881d26a51afc5b,32
